País;Mujeres;Hombres
Australia;23.5;20.5
Austria;25.5;21.6
Bélgica;25.2;22.2
Canadá;24.0;20.2
Chile;21.7;16.2
Colombia;21.2;13.0
Costa Rica;21.1;14.8
Chequia;21.5;15.8
Dinamarca;22.4;19.0
Estonia;20.7;16.6
Finlandia;23.2;19.9
Francia;26.1;23.3
Alemania;22.6;18.8
Grecia;25.5;19.1
Hungría;20.7;14.5
Islandia;20.7;16.8
Irlanda;21.8;18.2
Israel;20.8;18.1
Italia;25.7;21.7
Japón;23.1;17.5
Corea;21.5;18.4
Letonia;20.5;16.6
Lituania;19.2;14.0
Luxemburgo;27.8;22.7
México;18.1;14.9
Países Bajos;22.5;19.2
Nueva Zelanda;22.2;18.5
Noruega;24.5;19.8
Polonia;22.2;15.1
Portugal;22.6;17.5
República Eslovaca;20.2;15.7
Eslovenia;26.2;20.4
España;26.5;22.0
Suecia;22.6;19.5
Suiza;23.8;20.7
Turquía;23.6;18.1
Reino Unido;23.5;20.9
Estados Unidos;20.6;18.0
